,number_week,artist_individual,true_streams,rank
189,20210610,Doja Cat,10784026.5,10.0
190,20210617,Olivia Rodrigo,76549621.0,1.0
191,20210617,Polo G,48797881.0,2.0
192,20210617,Migos,27440994.0,3.0
193,20210617,Bo Burnham,18256884.0,4.0
194,20210617,Doja Cat,15694907.0,5.0
195,20210617,Drake,11431765.0,6.0
196,20210617,Juice WRLD,11141771.0,7.0
197,20210617,Lil Baby,9816360.666666666,8.0
198,20210617,Bad Bunny,8802790.5,9.0
199,20210617,Lil Nas X,8680905.0,10.0
200,20210624,Olivia Rodrigo,66719630.0,1.0
201,20210624,Polo G,16855678.333333332,2.0
202,20210624,Doja Cat,13537192.5,3.0
203,20210624,DaBaby,11029007.666666666,4.0
204,20210624,Juice WRLD,10699367.5,5.0
205,20210624,Lil Baby,10434357.5,6.0
206,20210624,Drake,10162969.166666666,7.0
207,20210624,Bo Burnham,10028562.0,8.0
208,20210624,Morgan Wallen,9527103.0,9.0
209,20210624,The Weeknd,8974906.5,10.0
210,20210701,Olivia Rodrigo,59904458.0,1.0
211,20210701,"Tyler, The Creator",53359317.666666664,2.0
212,20210701,Doja Cat,50221383.0,3.0
213,20210701,Polo G,13841478.333333334,4.0
214,20210701,DaBaby,12636756.833333334,5.0
215,20210701,Bo Burnham,12486825.0,6.0
216,20210701,The Weeknd,11570786.5,7.0
217,20210701,Juice WRLD,10376448.0,8.0
218,20210701,Drake,8786262.5,9.0
219,20210701,Megan Thee Stallion,8580798.0,10.0
220,20210708,Olivia Rodrigo,56762313.0,1.0
221,20210708,Doja Cat,28270726.0,2.0
222,20210708,"Tyler, The Creator",13757129.333333334,3.0
223,20210708,Polo G,13282745.666666666,4.0
224,20210708,DaBaby,12697185.0,5.0
225,20210708,Bo Burnham,11603445.0,6.0
226,20210708,The Weeknd,10288796.5,7.0
227,20210708,Juice WRLD,9398729.0,8.0
228,20210708,Drake,9051636.416666666,9.0
229,20210708,Måneskin,8984399.0,10.0
230,20210715,Olivia Rodrigo,53198930.0,1.0
231,20210715,Doja Cat,25253822.5,2.0
232,20210715,Post Malone,13097133.5,3.0
233,20210715,Polo G,13022129.666666666,4.0
234,20210715,DaBaby,12153240.583333334,5.0
235,20210715,The Kid LAROI,11283272.5,6.0
236,20210715,BTS,11273264.0,7.0
237,20210715,Juice WRLD,11113748.0,8.0
238,20210715,The Weeknd,10681131.0,9.0
239,20210715,Justin Bieber,10625951.833333334,10.0
240,20210722,Olivia Rodrigo,50425896.0,1.0
241,20210722,Doja Cat,26393600.0,2.0
242,20210722,Pop Smoke,20056232.0,3.0
243,20210722,John Mayer,14709679.0,4.0
244,20210722,DaBaby,11968918.166666666,5.0
245,20210722,Polo G,11731982.0,6.0
246,20210722,The Weeknd,10381387.5,7.0
247,20210722,Måneskin,9896928.0,8.0
248,20210722,Post Malone,9738046.0,9.0
249,20210722,Justin Bieber,9689468.0,10.0
250,20210729,Olivia Rodrigo,45532444.0,1.0
251,20210729,Doja Cat,26263207.0,2.0
252,20210729,The Kid LAROI,19940367.333333332,3.0
253,20210729,Lil Nas X,13632759.5,4.0
254,20210729,Polo G,12798124.0,5.0
255,20210729,DaBaby,11565479.833333334,6.0
256,20210729,The Weeknd,11002471.666666666,7.0
257,20210729,Juice WRLD,10999083.0,8.0
258,20210729,Justin Bieber,9710193.666666666,9.0
259,20210729,Måneskin,9571325.0,10.0
260,20210805,Billie Eilish,61508939.5,1.0
261,20210805,Olivia Rodrigo,41701395.0,2.0
262,20210805,Doja Cat,25358132.0,3.0
263,20210805,The Kid LAROI,12626078.666666666,4.0
264,20210805,Lil Nas X,12413758.0,5.0
265,20210805,Polo G,10762561.0,6.0
266,20210805,DaBaby,10405940.083333334,7.0
267,20210805,Juice WRLD,9966801.5,8.0
268,20210805,The Weeknd,9632302.0,9.0
269,20210805,Måneskin,8546705.0,10.0
270,20210812,Olivia Rodrigo,37458066.0,1.0
271,20210812,Billie Eilish,30903350.5,2.0
272,20210812,Doja Cat,26810157.5,3.0
273,20210812,The Weeknd,17070519.5,4.0
274,20210812,Lil Nas X,11417418.0,5.0
275,20210812,The Kid LAROI,10203350.833333334,6.0
276,20210812,Polo G,9773649.333333334,7.0
277,20210812,Jack Harlow,9754245.5,8.0
278,20210812,Juice WRLD,9589465.5,9.0
279,20210812,DaBaby,9412798.666666666,10.0
280,20210819,Olivia Rodrigo,35583180.0,1.0
281,20210819,Doja Cat,28427564.5,2.0
282,20210819,The Weeknd,14038121.5,3.0
283,20210819,Billie Eilish,13691486.0,4.0
284,20210819,Lil Nas X,11272728.0,5.0
285,20210819,$uicideboy$,10628740.0,6.0
286,20210819,The Kid LAROI,10185940.5,7.0
287,20210819,Juice WRLD,9397839.0,8.0
288,20210819,Jack Harlow,9057944.25,9.0
289,20210819,DaBaby,8801436.583333334,10.0
290,20210826,Olivia Rodrigo,32943773.0,1.0
291,20210826,Doja Cat,28970472.0,2.0
292,20210826,Trippie Redd,22703922.5,3.0
293,20210826,Lorde,13453066.0,4.0
294,20210826,The Weeknd,12738929.5,5.0
295,20210826,Juice WRLD,11715138.0,6.0
296,20210826,Lil Nas X,10751432.0,7.0
297,20210826,The Kid LAROI,9645313.333333334,8.0
298,20210826,Polo G,9199378.833333334,9.0
299,20210826,Justin Bieber,9117183.666666666,10.0
300,20210902,Kanye West,169583014.0,1.0
301,20210902,Olivia Rodrigo,31109722.0,2.0
302,20210902,Doja Cat,27439582.5,3.0
303,20210902,The Weeknd,10997937.333333334,4.0
304,20210902,Lil Nas X,10278221.0,5.0
305,20210902,Juice WRLD,9860482.0,6.0
306,20210902,Halsey,9194656.0,7.0
307,20210902,The Kid LAROI,8749177.166666666,8.0
308,20210902,Justin Bieber,7999060.833333333,9.0
309,20210902,DaBaby,7804786.666666667,10.0
310,20210909,Drake,169541788.33333334,1.0
311,20210909,Kanye West,81194423.0,2.0
312,20210909,Olivia Rodrigo,27096668.0,3.0
313,20210909,Doja Cat,25679767.5,4.0
314,20210909,Lil Baby,15333412.166666666,5.0
315,20210909,Future,13117225.666666668,6.0
316,20210909,Travis Scott,11686572.5,7.0
317,20210909,The Weeknd,9718526.5,8.0
318,20210909,Lil Nas X,9574892.5,9.0
319,20210909,Juice WRLD,9191101.0,10.0
320,20210916,Drake,64693501.333333336,1.0
321,20210916,Kanye West,36261444.0,2.0
322,20210916,Olivia Rodrigo,25658742.0,3.0
323,20210916,Doja Cat,25297989.5,4.0
324,20210916,Kacey Musgraves,14661894.0,5.0
325,20210916,Baby Keem,11496187.0,6.0
326,20210916,The Weeknd,10657481.0,7.0
327,20210916,Glass Animals,9950966.0,8.0
328,20210916,Ed Sheeran,9858460.0,9.0
329,20210916,Lil Baby,9595390.333333334,10.0
