,week,country,rank,artist_names,artists_num,artist_individual,artist_id,artist_genre,artist_img,collab,track_name,release_date,source,peak_rank,previous_rank,weeks_on_chart,streams,region,language,ISO3,number_week,true_streams
4202,2022-04-07,Japan,1,Yuuri,1,Yuuri,spotify:artist:0ixzjrK1wkN2zWBXt3VW3W,japanese teen pop,https://i.scdn.co/image/ab6761610000e5ebd24b965b4a11c054c6d4edff,0,BETELGEUSE,2022-01-12,Sony Music Labels Inc.,1,1,22,1445701,Asia,Japanese,JPN,20220407,1445701.0
4203,2022-04-07,Kazakhstan,1,"Irina Kairatovna, Shiza",2,Irina Kairatovna,spotify:artist:0AGZvVUGRD63ticvhaXZx1,central asian hip hop,https://i.scdn.co/image/ab6761610000e5ebdb7014f72e7747945df15ef7,1,Kõk tu,2022-03-18,ГОСТ,1,1,3,57810,Asia,Russian,KAZ,20220407,28905.0
4204,2022-04-07,Latvia,1,Harry Styles,1,Harry Styles,spotify:artist:6KImCVD70vtIoJWnq6nGn3,pop,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,0,As It Was,2022-03-31,Columbia,1,-1,1,81267,Europe,Latvian,LVA,20220407,81267.0
4205,2022-04-07,Lithuania,1,Harry Styles,1,Harry Styles,spotify:artist:6KImCVD70vtIoJWnq6nGn3,pop,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,0,As It Was,2022-03-31,Columbia,1,-1,1,132272,Europe,Lithuanian,LTU,20220407,132272.0
4206,2022-04-07,Luxembourg,1,Harry Styles,1,Harry Styles,spotify:artist:6KImCVD70vtIoJWnq6nGn3,pop,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,0,As It Was,2022-03-31,Columbia,1,-1,1,25692,Europe,French,LUX,20220407,25692.0
4207,2022-04-07,Malaysia,1,BIGBANG,1,BIGBANG,spotify:artist:4Kxlr1PRlDKEB0ekOCyHgX,k-pop,https://i.scdn.co/image/ab6761610000e5eb597a4257d0022e2ac837fa7d,0,Still Life,2022-04-05,YG Entertainment,1,-1,1,494584,Asia,Malay,MYS,20220407,494584.0
4208,2022-04-07,Mexico,1,Harry Styles,1,Harry Styles,spotify:artist:6KImCVD70vtIoJWnq6nGn3,pop,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,0,As It Was,2022-03-31,Columbia,1,-1,1,5952194,North America,Spanish,MEX,20220407,5952194.0
4209,2022-04-07,Morocco,1,"Tagne, Manal",2,Tagne,spotify:artist:3977Z9BZCFbJQYwdIdVwgc,rap maroc,https://i.scdn.co/image/ab6761610000e5eb48c95611ca41d3c31d2f7b21,1,MAAK,2022-02-11,Tana Prod,1,2,8,72582,Africa,Arabic,MAR,20220407,36291.0
4210,2022-04-07,Netherlands,1,Harry Styles,1,Harry Styles,spotify:artist:6KImCVD70vtIoJWnq6nGn3,pop,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,0,As It Was,2022-03-31,Columbia,1,-1,1,1850513,Europe,Dutch,NLD,20220407,1850513.0
4211,2022-04-07,New Zealand,1,Harry Styles,1,Harry Styles,spotify:artist:6KImCVD70vtIoJWnq6nGn3,pop,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,0,As It Was,2022-03-31,Columbia,1,-1,1,494195,Oceania,English,NZL,20220407,494195.0
4212,2022-04-07,Nicaragua,1,"Tainy, Bad Bunny, Julieta Venegas",3,Tainy,spotify:artist:0GM7qgcRCORpGnfcN2tCiB,latin hip hop,https://i.scdn.co/image/ab6761610000e5eb0b4ecb49d9dcd631a07a1315,1,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),2021-10-05,Neon16,1,2,27,53547,Central America,Spanish,NIC,20220407,17849.0
4213,2022-04-07,Nigeria,1,Black Sherif,1,Black Sherif,spotify:artist:2LiqbH7OhqP0yuaG8VL1wJ,ghanaian pop,https://i.scdn.co/image/ab6761610000e5ebb7784000cfc232210909400d,0,Kwaku the Traveller,2022-03-30,Blacko Management / EMPIRE,1,-1,1,286699,Africa,English,NGA,20220407,286699.0
4214,2022-04-07,Norway,1,"Ballinciaga, David Mokel",2,Ballinciaga,spotify:artist:7GgWpPrcNYH90st7I3nJtv,norwegian pop,https://i.scdn.co/image/ab6761610000e5eb143c053685404989734baf4d,1,Dans På Bordet,2022-02-09,Virgin Music Label And Artist Services,1,1,8,1249936,Europe,Norwegian,NOR,20220407,624968.0
4215,2022-04-07,Panama,1,Harry Styles,1,Harry Styles,spotify:artist:6KImCVD70vtIoJWnq6nGn3,pop,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,0,As It Was,2022-03-31,Columbia,1,-1,1,85005,Central America,Spanish,PAN,20220407,85005.0
4216,2022-04-07,Paraguay,1,Paulo Londra,1,Paulo Londra,spotify:artist:3vQ0GE3mI0dAaxIMYe5g7z,argentine hip hop,https://i.scdn.co/image/ab6761610000e5ebf796a976c5597baf6f7b786c,0,Plan A,2022-03-23,WEA Latina,1,1,3,333903,South America,Spanish,PRY,20220407,333903.0
4217,2022-04-07,Peru,1,Paulo Londra,1,Paulo Londra,spotify:artist:3vQ0GE3mI0dAaxIMYe5g7z,trap latino,https://i.scdn.co/image/ab6761610000e5ebf796a976c5597baf6f7b786c,0,Plan A,2022-03-23,WEA Latina,1,1,3,972972,South America,Spanish,PER,20220407,972972.0
4218,2022-04-07,Philippines,1,Zack Tabudlo,1,Zack Tabudlo,spotify:artist:67IN4cLJ7798gUapyZlmac,acoustic opm,https://i.scdn.co/image/ab6761610000e5eb23c820e8d066c83df8d818fe,0,Pano,2021-12-06,Universal Music Philippines Inc.,1,1,17,1708206,Asia,Tagalog,PHL,20220407,1708206.0
4219,2022-04-07,Poland,1,Harry Styles,1,Harry Styles,spotify:artist:6KImCVD70vtIoJWnq6nGn3,pop,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,0,As It Was,2022-03-31,Columbia,1,-1,1,1515299,Europe,Polish,POL,20220407,1515299.0
4220,2022-04-07,Portugal,1,"PEDRO SAMPAIO, Mc Pedrinho",2,PEDRO SAMPAIO,spotify:artist:5wbf52LA6kcaboHSN6NEF1,funk carioca,https://i.scdn.co/image/ab6761610000e5ebf84f9ddea636e5d4869c896d,1,DANÇARINA,2022-02-02,WM Brazil,1,1,8,477932,Europe,Portuguese,PRT,20220407,238966.0
4221,2022-04-07,Romania,1,Harry Styles,1,Harry Styles,spotify:artist:6KImCVD70vtIoJWnq6nGn3,pop,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,0,As It Was,2022-03-31,Columbia,1,-1,1,179485,Europe,Romanian,ROU,20220407,179485.0
4222,2022-04-07,Saudi Arabia,1,Harry Styles,1,Harry Styles,spotify:artist:6KImCVD70vtIoJWnq6nGn3,pop,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,0,As It Was,2022-03-31,Columbia,1,-1,1,111697,Middle East,Arabic,SAU,20220407,111697.0
4223,2022-04-07,Singapore,1,Harry Styles,1,Harry Styles,spotify:artist:6KImCVD70vtIoJWnq6nGn3,pop,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,0,As It Was,2022-03-31,Columbia,1,-1,1,300923,Asia,English,SGP,20220407,300923.0
4224,2022-04-07,Slovakia,1,Harry Styles,1,Harry Styles,spotify:artist:6KImCVD70vtIoJWnq6nGn3,pop,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,0,As It Was,2022-03-31,Columbia,1,-1,1,141292,Europe,Slovak,SVK,20220407,141292.0
4225,2022-04-07,South Africa,1,"Daliwonga, Mellow & Sleazy, M.J",3,Daliwonga,spotify:artist:0oW137oXCLwA5b4uYRxvIn,south african pop,https://i.scdn.co/image/ab67616d0000b27347b21cc47374f9c3b6022142,1,Abo Mvelo (feat. Mellow & Sleazy & M.J),2022-03-18,New Money Gang Records,1,1,3,171308,Africa,Zulu,ZAF,20220407,57102.666666666664
4226,2022-04-07,South Korea,1,BIGBANG,1,BIGBANG,spotify:artist:4Kxlr1PRlDKEB0ekOCyHgX,k-pop boy group,https://i.scdn.co/image/ab6761610000e5eb597a4257d0022e2ac837fa7d,0,Still Life,2022-04-05,YG Entertainment,1,-1,1,358676,Asia,Korean,KOR,20220407,358676.0
4227,2022-04-07,Spain,1,"Alejo, Feid, ROBI",3,Alejo,spotify:artist:50sIhX3HytFEwQXZJLUZQE,reggaeton,https://i.scdn.co/image/ab6761610000e5ebdf67a6ba107e0ebce7dda777,1,Pantysito,2022-03-18,UMLE - Latino,1,2,3,2724923,Europe,Spanish,ESP,20220407,908307.6666666666
4228,2022-04-07,Sweden,1,Harry Styles,1,Harry Styles,spotify:artist:6KImCVD70vtIoJWnq6nGn3,pop,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,0,As It Was,2022-03-31,Columbia,1,-1,1,1148211,Europe,Swedish,SWE,20220407,1148211.0
4229,2022-04-07,Switzerland,1,Harry Styles,1,Harry Styles,spotify:artist:6KImCVD70vtIoJWnq6nGn3,pop,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb,0,As It Was,2022-03-31,Columbia,1,-1,1,330501,Europe,German,CHE,20220407,330501.0
4230,2022-04-07,Taiwan,1,WeiBird,1,WeiBird,spotify:artist:7y3HnWCFEvWj4KM9GFSkiX,taiwan pop,https://i.scdn.co/image/ab6761610000e5ebd1a48129d8f26232df6582a8,0,"Red Scarf - ""Till We Meet Again"" Movie Theme Song",2021-11-05,Sony Music Entertainment,1,1,22,437574,Asia,Mandarin,TWN,20220407,437574.0
4231,2022-04-07,Thailand,1,Tilly Birds,1,Tilly Birds,spotify:artist:4esoPgrgPKbWa6gwU8EGmH,thai indie rock,https://i.scdn.co/image/ab6761610000e5eb4685b86c6e9e7c3f0990c2d2,0,ถ้าเราเจอกันอีก (Until Then),2021-11-25,GMM Grammy PCL.,1,2,19,463128,Asia,Thai,THA,20220407,463128.0
